KPI ID,Train Records,Train Anomalies,Train Anomaly %,Test Records,Train First Timestamp,Train Last Timestamp,Test First Timestamp,Test Last Timestamp
02e99bd4f6cfb33f,128562,10550,8.21,112627,1970-01-01 00:00:01.493568000,1970-01-01 00:00:01.501475640,1970-01-01 00:00:01.501475700,1970-01-01 00:00:01.509383340
046ec29ddf80d62e,8784,80,0.91,8784,1970-01-01 00:00:01.469376000,1970-01-01 00:00:01.472010900,1970-01-01 00:00:01.472011200,1970-01-01 00:00:01.474646100
07927a9a18fa19ae,10960,130,1.19,10960,1970-01-01 00:00:01.467302400,1970-01-01 00:00:01.470990600,1970-01-01 00:00:01.470990900,1970-01-01 00:00:01.474787100
09513ae3e75778a3,128971,238,0.18,111004,1970-01-01 00:00:01.493568000,1970-01-01 00:00:01.501475040,1970-01-01 00:00:01.501475100,1970-01-01 00:00:01.509382140
18fbb1d5a5dc099d,129128,7863,6.09,111171,1970-01-01 00:00:01.493568000,1970-01-01 00:00:01.501475640,1970-01-01 00:00:01.501475700,1970-01-01 00:00:01.509383340
1c35dbf57f55f5e4,128853,9581,7.44,112116,1970-01-01 00:00:01.493568000,1970-01-01 00:00:01.501475640,1970-01-01 00:00:01.501475700,1970-01-01 00:00:01.509383340
40e25005ff8992bd,100254,654,0.65,108901,1970-01-01 00:00:01.496288160,1970-01-01 00:00:01.502446800,1970-01-01 00:00:01.502446860,1970-01-01 00:00:01.508984400
54e8a140f6237526,8248,4,0.05,8249,1970-01-01 00:00:01.469203200,1970-01-01 00:00:01.471693500,1970-01-01 00:00:01.471693800,1970-01-01 00:00:01.474559700
71595dd7171f4540,147668,1113,0.75,147669,1970-01-01 00:00:01.491041280,1970-01-01 00:00:01.500105360,1970-01-01 00:00:01.500105420,1970-01-01 00:00:01.508984400
769894baefea4e9e,8784,9,0.10,8784,1970-01-01 00:00:01.477584000,1970-01-01 00:00:01.480218900,1970-01-01 00:00:01.480219200,1970-01-01 00:00:01.482854100
76f4550c43334374,8784,87,0.99,8784,1970-01-01 00:00:01.477670400,1970-01-01 00:00:01.480305300,1970-01-01 00:00:01.480305600,1970-01-01 00:00:01.482940500
7c189dd36f048a6c,147689,426,0.29,147690,1970-01-01 00:00:01.491041280,1970-01-01 00:00:01.500104820,1970-01-01 00:00:01.500104880,1970-01-01 00:00:01.508984400
88cf3a776ba00e7c,65436,3106,4.75,65436,1970-01-01 00:00:01.492967340,1970-01-01 00:00:01.496895540,1970-01-01 00:00:01.496895600,1970-01-01 00:00:01.500825540
8a20c229e9860d0c,8784,4,0.05,8784,1970-01-01 00:00:01.477238400,1970-01-01 00:00:01.479873300,1970-01-01 00:00:01.479873600,1970-01-01 00:00:01.482508500
8bef9af9a922e0b3,129453,527,0.41,129454,1970-01-01 00:00:01.491041280,1970-01-01 00:00:01.498961220,1970-01-01 00:00:01.498961280,1970-01-01 00:00:01.506796860
8c892e5525f3e491,147009,3083,2.10,147010,1970-01-01 00:00:01.491041280,1970-01-01 00:00:01.500147120,1970-01-01 00:00:01.500147180,1970-01-01 00:00:01.508984400
9bd90500bfd11edb,128613,143,0.11,110185,1970-01-01 00:00:01.493568000,1970-01-01 00:00:01.501475640,1970-01-01 00:00:01.501475700,1970-01-01 00:00:01.509383340
9ee5879409dccef9,65449,2945,4.50,65450,1970-01-01 00:00:01.492967340,1970-01-01 00:00:01.496895960,1970-01-01 00:00:01.496896020,1970-01-01 00:00:01.500825540
a40b1df87e3f1c87,137925,381,0.28,137925,1970-01-01 00:00:01.491041280,1970-01-01 00:00:01.499489940,1970-01-01 00:00:01.499490000,1970-01-01 00:00:01.507812360
a5bf5d65261d859a,128679,29,0.02,108747,1970-01-01 00:00:01.493568000,1970-01-01 00:00:01.501475340,1970-01-01 00:00:01.501475400,1970-01-01 00:00:01.509382740
affb01ca2b4f0b45,147680,584,0.40,147681,1970-01-01 00:00:01.491041280,1970-01-01 00:00:01.500103680,1970-01-01 00:00:01.500103740,1970-01-01 00:00:01.508984400
b3b2e6d1a791d63a,8247,12,0.15,8248,1970-01-01 00:00:01.469203200,1970-01-01 00:00:01.471693200,1970-01-01 00:00:01.471693500,1970-01-01 00:00:01.474559700
c58bfcbacb2822d1,128667,124,0.10,112786,1970-01-01 00:00:01.493568000,1970-01-01 00:00:01.501475340,1970-01-01 00:00:01.501475400,1970-01-01 00:00:01.509382740
cff6d3c01e6a6bfa,147629,1087,0.74,147629,1970-01-01 00:00:01.491041280,1970-01-01 00:00:01.500107880,1970-01-01 00:00:01.500107940,1970-01-01 00:00:01.508984400
da403e4e3f87c9e0,129035,7666,5.94,112113,1970-01-01 00:00:01.493568000,1970-01-01 00:00:01.501475340,1970-01-01 00:00:01.501475400,1970-01-01 00:00:01.509382740
e0770391decc44ce,147024,3074,2.09,147024,1970-01-01 00:00:01.491041280,1970-01-01 00:00:01.500146280,1970-01-01 00:00:01.500146340,1970-01-01 00:00:01.508984400
