,value,hour,day,day_of_week,month,weekend,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,time_diff_seconds,lag_1,lag_3,lag_5,lag_10,rolling_mean_5,rolling_std_5,rolling_min_5,rolling_max_5,rolling_median_5,rolling_mean_10,rolling_std_10,rolling_min_10,rolling_max_10,rolling_median_10,rolling_mean_20,rolling_std_20,rolling_min_20,rolling_max_20,rolling_median_20,ema_5,ema_10,ema_20,diff_prev,pct_change,first_derivative,z_score
value,1.0,,,,,,,,,,-0.008463995451265114,0.9992615578244851,0.9992132948521939,0.9989349311154035,0.9984854016977373,0.9996559776209853,0.6448517502057323,0.9991607449255605,0.999446423045391,0.9996013428603384,0.9994814791773455,0.7300370707424364,0.9987931612974413,0.9993415721519554,0.9994127603001923,0.9991676091993537,0.7958922411505875,0.9981517045912205,0.9991285046723344,0.9990722276133971,0.9997602463985871,0.9995950080317564,0.9993427249645511,0.01911592240369564,-0.00019091311641578139,0.0189532547821903,0.040391154299187264
hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_of_week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour_sin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour_cos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_of_week_sin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_of_week_cos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_diff_seconds,-0.008463995451265114,,,,,,,,,,1.0,-0.008932335008858936,-0.008928719085988268,-0.008931833734198884,-0.008907615929462567,-0.008839579388500824,0.0011357461145588576,-0.008918084126978526,-0.008494971894262366,-0.00893179394492139,-0.008884092153800035,-0.0023114817115096943,-0.008903385730045052,-0.008513946947004886,-0.008927560774476637,-0.008897750439001163,-0.004659341352687213,-0.008894559486398204,-0.008518845480559107,-0.008918342588872592,-0.008776709000881863,-0.008844879727714392,-0.00888099946858425,0.01225337831880272,7.710130727238677e-05,1.1823384957075787e-05,0.0006694139229638592
