feature_name,count,mean,std,min,25%,50%,75%,max
value,2476315.0,108021111.4260152,319692610.9406215,-4.54606913202,3.700000048,1293.4375,2523.0,1608813440.0
hour,2476315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day,2476315.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
day_of_week,2476315.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
month,2476315.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
weekend,2476315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hour_sin,2476315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hour_cos,2476315.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
day_of_week_sin,2476315.0,0.4338837391175608,2.5535134722252813e-15,0.43388373911755823,0.43388373911755823,0.43388373911755823,0.43388373911755823,0.43388373911755823
day_of_week_cos,2476315.0,-0.9009688679024133,5.7731608937267224e-15,-0.900968867902419,-0.900968867902419,-0.900968867902419,-0.900968867902419,-0.900968867902419
time_diff_seconds,2476315.0,6.756783365605742e-08,2.388950705979278e-07,0.0,6e-08,6e-08,6e-08,0.0001479
lag_1,2476315.0,108021113.34373116,319692616.92176867,-4.54606913202,3.700000048,1293.4375,2523.0,1608813440.0
lag_3,2476315.0,108021019.0892548,319692342.9984854,-4.54606913202,3.700000048,1293.4375,2523.0,1608813440.0
lag_5,2476315.0,108021025.0658079,319692358.3685162,-4.54606913202,3.700000048,1293.4375,2523.0,1608813440.0
lag_10,2476315.0,108021064.8242566,319692465.44480413,-4.54606913202,3.700000048,1293.4375,2523.0,1608813440.0
rolling_mean_5,2476315.0,108021070.72101556,319586487.9141905,-2.57461714367,3.710029292100048,1292.525,2519.2,1597332505.6
rolling_std_5,2476315.0,1758313.1505700797,8042506.977461712,0.0,0.32155870845010726,35.704341472734626,80.79950495060265,382229677.0679221
rolling_min_5,2476315.0,105657366.20627491,312762793.36564696,-4.54606913202,3.200000048,1249.0,2430.0,1584667520.0
rolling_max_5,2476315.0,110382825.46688652,326613020.0273959,-2.295401884,4.099999905,1336.4375,2614.0,1608813440.0
rolling_median_5,2476315.0,108023596.30975454,319616228.16335523,-2.69554799587,3.700000048,1292.3125,2519.0,1597302528.0
rolling_mean_10,2476315.0,108021070.73283292,319557741.8064274,-2.4047849084169997,3.720000004699989,1292.2800049000002,2517.9,1589637248.0
rolling_std_10,2476315.0,2225505.420812929,9011252.954700766,0.0,0.4101523808935123,45.98793320017469,93.0255878779416,386976611.953092
rolling_min_10,2476315.0,104580273.0452712,309603659.02557516,-4.54606913202,3.049999952,1231.125,2391.0,1577335552.0
rolling_max_10,2476315.0,111458161.39946117,329760449.3261071,-2.09824740054,4.3000001910000005,1355.5,2653.0,1608813440.0
rolling_median_10,2476315.0,108023348.84867495,319586172.9303584,-2.492402454155,3.6969697475450003,1291.78125,2518.0,1589694016.0
rolling_mean_20,2476315.0,108021080.28940384,319507021.35795397,-2.376307649513,3.7166666507719994,1292.028125,2515.575,1573400979.2
rolling_std_20,2476315.0,2826558.662067312,10517344.41435972,0.0,0.4656380127486282,56.07697834206192,107.78422310317248,384260076.6170217
rolling_min_20,2476315.0,103142239.42246866,305376914.5811349,-4.54606913202,3.0,1210.0,2349.0,1544269312.0
rolling_max_20,2476315.0,112889440.8392747,333933593.6831886,-1.80888823154,4.5,1379.0,2699.0,1608813440.0
rolling_median_20,2476315.0,108025042.63347304,319549218.1420975,-2.349845817735,3.6749999525,1291.15625,2516.5,1575779392.0
ema_5,2476315.0,108021088.01582065,319577574.91943073,-2.6237991131418603,3.7151930765399364,1292.452376077637,2518.52378325716,1578621256.1931968
ema_10,2476315.0,108021104.57594278,319534368.4503788,-2.4135522073347153,3.719358845263113,1292.193701564482,2517.2460100495846,1567334095.5983057
ema_20,2476315.0,108021168.6418518,319460584.4031776,-2.3238098549565755,3.7211552355498236,1292.250381894155,2514.454000535693,1548425247.2941487
diff_prev,2476315.0,26.089334938396334,12218412.272564175,-398989184.0,-33.9375,0.0,24.875,778502336.0
pct_change,2476315.0,0.1400945245215369,245.50589800616447,-768.0970081497155,-0.033960188908454314,-0.0018883275232275398,0.024800168137873002,384154.99997444864
first_derivative,2476315.0,-8086456061.011774,203357428648254.47,-6649819733333334.0,-550000000.0,0.0,400000000.00000006,6199581866666667.0
z_score,2476315.0,4.099734730250518e-17,1.000000201912984,-4.994083306119026,-0.6197357106698679,0.02472108009944293,0.6347650816948767,140.57777032729535
