feature_name,datatype,missing_values,mean,std,min,max
value,float64,0,108021111.4260152,319692546.3905454,-4.54606913202,1608813440.0
hour,int32,0,0.0,0.0,0.0,0.0
day,int32,0,1.0,0.0,1.0,1.0
day_of_week,int32,0,3.0,0.0,3.0,3.0
month,int32,0,1.0,0.0,1.0,1.0
weekend,int64,0,0.0,0.0,0.0,0.0
hour_sin,float64,0,0.0,0.0,0.0,0.0
hour_cos,float64,0,1.0,0.0,1.0,1.0
day_of_week_sin,float64,0,0.4338837391175608,2.55351295663786e-15,0.43388373911755823,0.43388373911755823
day_of_week_cos,float64,0,-0.9009688679024133,5.773159728050814e-15,-0.900968867902419,-0.900968867902419
time_diff_seconds,float64,0,6.756783365605742e-08,2.388950223619209e-07,0.0,0.0001479
lag_1,float64,0,108021113.34373116,319692552.3716914,-4.54606913202,1608813440.0
lag_3,float64,0,108021019.0892548,319692278.4484634,-4.54606913202,1608813440.0
lag_5,float64,0,108021025.0658079,319692293.8184911,-4.54606913202,1608813440.0
lag_10,float64,0,108021064.8242566,319692400.89475745,-4.54606913202,1608813440.0
rolling_mean_5,float64,0,108021070.72101556,319586423.38554204,-2.57461714367,1597332505.6
rolling_std_5,float64,0,1758313.1505700797,8042505.353575456,0.0,382229677.0679221
rolling_min_5,float64,0,105657366.20627491,312762730.21479076,-4.54606913202,1584667520.0
rolling_max_5,float64,0,110382825.46688652,326612954.0799997,-2.295401884,1608813440.0
rolling_median_5,float64,0,108023596.30975454,319616163.62870187,-2.69554799587,1597302528.0
rolling_mean_10,float64,0,108021070.73283292,319557677.2835832,-2.4047849084169997,1589637248.0
rolling_std_10,float64,0,2225505.420812929,9011251.135212159,0.0,386976611.953092
rolling_min_10,float64,0,104580273.0452712,309603596.51258904,-4.54606913202,1577335552.0
rolling_max_10,float64,0,111458161.39946117,329760382.7432042,-2.09824740054,1608813440.0
rolling_median_10,float64,0,108023348.84867495,319586108.4017736,-2.492402454155,1589694016.0
rolling_mean_20,float64,0,108021080.28940384,319506956.84535086,-2.376307649513,1573400979.2
rolling_std_20,float64,0,2826558.662067312,10517342.290771753,0.0,384260076.6170217
rolling_min_20,float64,0,103142239.42246866,305376852.92158324,-4.54606913202,1544269312.0
rolling_max_20,float64,0,112889440.8392747,333933526.2576738,-1.80888823154,1608813440.0
rolling_median_20,float64,0,108025042.63347304,319549153.6209743,-2.349845817735,1575779392.0
ema_5,float64,0,108021088.01582065,319577510.39258194,-2.6237991131418603,1578621256.1931968
ema_10,float64,0,108021104.57594278,319534303.93225396,-2.4135522073347153,1567334095.5983057
ema_20,float64,0,108021168.6418518,319460519.89995074,-2.3238098549565755,1548425247.2941487
diff_prev,float64,0,26.089334938396334,12218409.80550859,-398989184.0,778502336.0
pct_change,float64,0,0.1400945245215369,245.50584843534597,-768.0970081497155,384154.99997444864
first_derivative,float64,0,-8086456061.011774,203357387587757.47,-6649819733333334.0,6199581866666667.0
z_score,float64,0,4.099734730250518e-17,1.0,-4.994083306119026,140.57777032729535
